Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
8/1/2022,"2,914","5,021",2.29,14,797,191,7,0,983
8/2/2022,"3,871","14,798",6.69,61,739,222,36,56,"2,038"
8/3/2022,"2,777","3,800",1.76,11,742,176,0,0,824
8/4/2022,"3,113","7,393",3.43,25,682,189,8,16,"1,191"
8/5/2022,"2,956","6,613",3.06,21,775,155,7,30,"1,041"
8/6/2022,"3,566","8,854",4.05,48,631,251,48,22,"1,805"
8/7/2022,"3,376","10,685",4.96,57,674,168,46,38,"1,526"
8/8/2022,"3,009","8,393",3.9,50,798,85,34,46,"1,102"
8/9/2022,"3,152","8,295",3.85,36,732,200,7,15,"1,253"
8/10/2022,"3,329","8,216",3.81,40,674,222,11,19,"1,483"
8/11/2022,"3,295","9,811",4.55,48,786,172,13,43,"1,409"
8/12/2022,"2,873","5,060",2.35,25,787,137,18,14,911
8/13/2022,"3,168","8,674",4.03,34,715,139,27,50,"1,296"
8/14/2022,"3,581","11,717",5.31,39,668,234,18,37,"1,770"
8/15/2022,"4,457","22,404",10.37,107,655,244,48,117,"2,820"
8/16/2022,"4,542","22,612",10.48,95,467,247,39,134,"2,939"
8/17/2022,"3,466","13,228",6.08,39,611,165,34,64,"1,653"
8/18/2022,"3,041","6,518",2.93,7,893,155,40,15,"1,205"
8/19/2022,"3,633","14,442",6.7,46,651,203,29,61,"1,842"
8/20/2022,"3,581","14,367",6.62,47,592,138,34,94,"1,815"
8/21/2022,"3,458","8,854",4.07,40,539,332,16,7,"1,812"
8/22/2022,"4,275","21,490",10,103,571,215,64,114,"2,681"
8/23/2022,"3,029","6,925",3.22,32,632,162,15,25,"1,168"
8/24/2022,"3,271","7,533",3.5,11,703,260,30,12,"1,552"
8/25/2022,"3,481","11,614",5.39,49,793,198,19,53,"1,648"
8/26/2022,"3,249","7,648",3.45,18,553,250,20,16,"1,513"
8/27/2022,"3,560","14,825",6.84,57,712,154,24,91,"1,768"
8/28/2022,"3,458","12,993",5.97,45,575,193,20,64,"1,718"
8/29/2022,"3,260","11,628",5.4,38,785,98,31,80,"1,420"
8/30/2022,"3,117","8,629",4.01,36,666,161,14,45,"1,278"
8/31/2022,"3,538","11,435",5.25,61,742,246,16,52,"1,794"
9/1/2022,"3,293","10,078",4.68,37,686,184,14,55,"1,517"
9/2/2022,"3,297","8,977",3.94,59,697,232,32,19,"1,522"
9/3/2022,"3,220","7,696",3.5,35,607,239,13,12,"1,422"
9/4/2022,"3,330","5,614",2.61,31,673,257,20,1,"1,471"
9/5/2022,"3,041","5,459",2.43,37,763,188,8,1,938
9/6/2022,"3,177","8,784",4.08,42,644,177,13,27,"1,327"
9/7/2022,"3,655","11,377",5.2,55,708,223,41,43,"1,895"
9/8/2022,"3,191","8,833",4.1,35,629,169,13,45,"1,345"
9/9/2022,"3,119","8,696",4.04,49,740,145,14,44,"1,237"
9/10/2022,"3,149","8,158",3.66,24,709,168,6,42,"1,233"
9/11/2022,"3,738","9,110",4.11,31,584,276,75,13,"2,067"
9/12/2022,"3,604","9,959",4.6,45,650,250,23,42,"1,811"
9/13/2022,"3,150","7,562",3.39,31,778,153,23,26,"1,245"
9/14/2022,"3,394","14,373",6.67,59,698,105,23,98,"1,583"
9/15/2022,"3,103","7,081",3.22,30,656,163,4,40,"1,222"
9/16/2022,"2,656","3,823",1.67,13,852,123,8,5,686
9/17/2022,"3,587","9,913",4.57,47,732,183,33,59,"1,788"
9/18/2022,"2,960","5,829",2.71,12,610,204,15,7,"1,140"
