Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2022-08-01 2:36AM,2022-08-01 10:01AM,381,64,33,445,10,329,42
2022-08-02 1:02AM,2022-08-02 7:29AM,340,47,24,387,29,259,52
2022-08-03 1:00AM,2022-08-03 9:42AM,445,77,30,522,23,364,58
2022-08-04 1:37AM,2022-08-04 9:23AM,399,67,30,466,33,334,32
2022-08-04 6:09PM,2022-08-04 7:28PM,70,9,1,79,N/A,N/A,N/A
2022-08-05 1:43AM,2022-08-05 6:49AM,270,36,17,306,31,201,38
2022-08-05 6:28PM,2022-08-05 9:15PM,140,11,3,167,N/A,N/A,N/A
2022-08-06 1:16AM,2022-08-06 9:25AM,414,74,29,488,82,250,82
2022-08-07 2:16AM,2022-08-07 10:50AM,450,64,35,514,47,354,49
2022-08-08 11:54PM,2022-08-09 8:00AM,414,72,29,486,50,312,52
2022-08-08 12:37AM,2022-08-08 8:35AM,415,62,28,477,33,299,83
2022-08-10 1:32AM,2022-08-10 10:06AM,426,88,19,514,63,336,27
2022-08-11 2:23AM,2022-08-11 8:04AM,304,37,18,341,52,199,53
2022-08-11 5:35PM,2022-08-11 7:00PM,80,5,0,85,N/A,N/A,N/A
2022-08-12 1:44AM,2022-08-12 8:44AM,351,69,27,420,30,260,61
2022-08-12 5:09PM,2022-08-12 6:13PM,62,2,0,64,N/A,N/A,N/A
2022-08-13 2:16AM,2022-08-13 10:46AM,432,77,31,509,73,305,54
2022-08-14 1:24AM,2022-08-14 9:27AM,425,58,28,483,29,354,42
2022-08-15 11:27PM,2022-08-16 8:40AM,442,111,31,553,76,352,14
2022-08-15 12:23AM,2022-08-15 6:39AM,328,48,23,376,31,237,60
2022-08-16 11:54PM,2022-08-17 7:31AM,414,43,29,457,37,309,68
2022-08-17 6:17PM,2022-08-17 8:07PM,102,7,1,109,N/A,N/A,N/A
2022-08-18 10:51PM,2022-08-19 7:07AM,444,52,23,496,18,379,47
2022-08-18 4:10AM,2022-08-18 9:47AM,286,51,14,337,22,220,44
2022-08-20 12:13AM,2022-08-20 9:55AM,513,69,34,582,40,400,73
2022-08-21 1:25AM,2022-08-21 10:32AM,482,64,36,546,80,366,36
2022-08-22 12:33AM,2022-08-22 8:29AM,426,50,25,476,92,278,56
2022-08-23 1:15AM,2022-08-23 9:22AM,428,59,29,487,60,300,68
2022-08-23 6:51PM,2022-08-23 8:50PM,117,2,0,119,N/A,N/A,N/A
2022-08-24 1:59AM,2022-08-24 9:15AM,362,73,24,435,23,288,51
2022-08-25 10:58PM,2022-08-26 8:59AM,518,83,31,601,42,456,20
2022-08-25 12:57AM,2022-08-25 7:14AM,332,45,22,377,35,266,31
2022-08-27 1:08AM,2022-08-27 8:47AM,411,48,28,459,60,286,65
2022-08-28 1:25AM,2022-08-28 9:26AM,405,76,27,481,11,330,64
2022-08-28 2:15PM,2022-08-28 4:03PM,102,3,0,107,N/A,N/A,N/A
2022-08-29 1:50AM,2022-08-29 9:16AM,400,46,32,446,37,295,68
2022-08-30 12:38AM,2022-08-30 9:52AM,457,97,27,554,37,342,78
2022-08-31 12:44AM,2022-08-31 7:08AM,331,53,25,384,28,274,29
2022-09-01 1:13AM,2022-09-01 9:34AM,438,63,32,501,21,359,58
2022-09-01 11:19PM,2022-09-02 6:59AM,395,65,20,460,37,335,23
2022-09-03 1:11AM,2022-09-03 10:41AM,496,73,34,569,65,369,62
2022-09-04 2:44AM,2022-09-04 10:54AM,431,58,36,489,34,325,72
2022-09-05 11:05PM,2022-09-06 6:50AM,394,71,33,465,4,342,48
2022-09-05 2:40AM,2022-09-05 10:40AM,433,47,31,480,25,340,68
2022-09-06 7:22PM,2022-09-06 9:17PM,103,11,0,114,N/A,N/A,N/A
2022-09-07 1:36AM,2022-09-07 6:17AM,263,18,15,281,38,198,27
2022-09-07 4:43PM,2022-09-07 7:07PM,132,12,1,144,N/A,N/A,N/A
2022-09-08 12:29AM,2022-09-08 6:58AM,325,64,19,389,5,287,33
2022-09-08 5:56PM,2022-09-08 9:11PM,163,32,12,195,6,122,35
2022-09-09 12:06AM,2022-09-09 8:23AM,416,81,35,497,22,343,51
2022-09-10 12:37AM,2022-09-10 9:13AM,452,63,32,515,64,337,51
2022-09-11 1:06AM,2022-09-11 9:18AM,425,67,37,492,58,307,60
2022-09-11 11:05PM,2022-09-12 7:00AM,401,74,25,475,39,332,30
